fluid_row_id,sample_time,sample_point,sample_depth_mmd,fluid_type,fluid_density_g_cm3,plastic_viscosity_mpa_s,yield_point_pa,report_id
1,00:00,Active pit,2310.0,ULTIDRILL,1.5,41.0,10.0,3
2,06:00,Active pit,2310.0,ULTIDRILL,1.5,41.0,10.0,3
3,00:00,Active pit,2213.0,ULTIDRILL,1.5,49.0,12.0,4
4,06:00,Active pit,2213.0,ULTIDRILL,1.5,49.0,12.0,4
5,,,,,117.0,,,4
6,,,,,117.0,,,4
7,00:00,Active pit,2213.0,ULTIDRILL,1.5,46.0,14.0,5
8,06:00,Active pit,2213.0,ULTIDRILL,1.5,46.0,14.0,5
9,,,,,143.0,,,5
10,,,,,143.0,,,5
11,00:00,Active pit,2187.0,ULTIDRILL,1.5,50.0,14.0,6
12,06:00,Active pit,2187.0,ULTIDRILL,1.5,50.0,14.0,6
13,,,,,143.0,,,6
14,,,,,143.0,,,6
15,00:00,Flowline,2192.0,ULTIDRILL,1.5,51.0,15.5,7
16,06:00,Flowline,2192.0,ULTIDRILL,1.5,51.0,15.5,7
17,,,,,147.0,,,7
18,,,,,147.0,,,7
19,00:00,Flowline,2314.0,ULTIDRILL,1.5,38.0,13.0,8
20,06:00,Flowline,2314.0,ULTIDRILL,1.5,38.0,13.0,8
21,,,,,75.0,,,8
22,,,,,75.0,,,8
23,00:00,Flowline,2684.0,ULTIDRILL,1.5,41.0,12.5,9
24,06:00,Flowline,2684.0,ULTIDRILL,1.5,41.0,12.5,9
25,17:00,Flowline,2768.0,ULTIDRILL,1.5,41.0,12.5,9
26,,,,,64.0,,,9
27,,,,,64.0,,,9
28,,,,,65.0,,,9
29,13:45,Flowline,2783.0,ULTIDRILL,1.5,38.0,13.0,10
30,22:00,Flowline,2783.0,ULTIDRILL,1.5,39.0,13.5,10
31,,,,,70.0,,,10
32,,,,,72.0,,,10
33,22:00,Flowline,2783.0,ULTIDRILL,1.54,42.0,12.5,11
34,,,,,79.0,,,11
35,16:00,Flowline,2806.0,ULTIDRILL,1.54,43.0,12.5,12
36,22:00,Flowline,2912.0,ULTIDRILL,1.54,40.0,12.5,12
37,,,,,68.0,,,12
38,,,,,70.0,,,12
39,17:00,Flowline,3057.0,ULTIDRILL,1.54,40.0,12.5,13
40,,,,,70.0,,,13
41,16:30,Flowline,3316.0,ULTIDRILL,1.54,34.0,11.0,14
42,22:00,Flowline,3356.0,ULTIDRILL,1.55,34.0,10.5,14
43,,,,,56.0,,,14
44,,,,,54.0,,,14
45,11:45,Flowline,3437.0,ULTIDRILL,1.55,32.0,10.0,15
46,18:06,Flowline,3494.0,ULTIDRILL,1.55,31.0,10.5,15
47,22:00,Flowline,3532.0,ULTIDRILL,1.55,32.0,10.0,15
48,,,,,54.0,,,15
49,,,,,54.0,,,15
50,,,,,55.0,,,15
51,00:24,Flowline,3532.0,ULTIDRILL,1.55,32.0,10.0,16
52,08:00,Flowline,3586.0,ULTIDRILL,1.55,32.0,11.0,16
53,22:30,Flowline,3632.0,ULTIDRILL,1.55,32.0,11.0,16
54,,,,,55.0,,,16
55,,,,,54.0,,,16
56,,,,,58.0,,,16
57,14:00,Flowline,3653.0,ULTIDRILL,1.55,35.0,11.0,17
58,,,,,57.0,,,17
59,14:30,Flowline,3701.0,ULTIDRILL,1.58,37.0,13.5,18
60,21:45,Flowline,3736.0,ULTIDRILL,1.56,36.0,13.0,18
61,,,,,76.0,,,18
62,,,,,64.0,,,18
63,14:00,Flowline,3803.0,ULTIDRILL,1.55,36.0,12.0,19
64,,,,,68.0,,,19
65,13:00,Flowline,3837.0,ULTIDRILL,1.55,37.0,11.5,20
66,,,,,64.0,,,20
67,14:00,Flowline,3838.0,ULTIDRILL,1.55,37.0,11.5,21
68,22:45,Flowline,3845.0,ULTIDRILL,1.55,36.0,9.5,21
69,,,,,63.0,,,21
