equipment_failure_id,start_time,depth_mmd,system_class,downtime_min,repaired_time,remark,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
1,00:00,36.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,Hydraulic leakage on AFT Iron roughneck.,"{""depths"": [], ""equipment"": [""iron roughneck""], ""measurements"": [], ""time_refs"": []}",[],"[""iron roughneck""]",[],[],381
2,00:00,231.0,pipe handling eq u syst -- other,0.0,00:00,"When drilling 26"" hole section it was observed that the PS-21 slips was damaged. One of the guides where partly loose and a bolt was damaged. The P S-21 was removed for repair and the operation continued using manual slips. Repaired PS-21 and re-inserted in","{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],382
3,00:00,497.0,pipe handling equ syst -- elevator,0.0,00:00,"Loose link tilt clamps, needed tightening.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],389
4,00:00,136.0,hoisting equ -- top drive,0.0,00:00,Worn centralizing liners on TDS. Scores on DP couplings.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],391
5,00:00,115.0,pipe handling equ syst -- other,0.0,00:00,Broken bolt on PS-21 slips actuator.,"{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],392
6,00:00,2062.0,miscellaneous equ syst -- other,0.0,00:00,Had to stop drilling and pick off bottom to cleat CRI and conveyers.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],396
7,00:00,85.0,pipe handling equ syst -- vertical pipe handling equ sy st,0.0,00:00,"Låse finger på fingerbord i derrick virket ikke. Fingere stod fast, 1t nedetid.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],399
8,00:00,2385.0,mud and bulk syst -- mud supply,0.0,00:00,Wash out in mud pump piston and lost suctoin.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],402
9,00:00,1382.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Fikk ikke operert øvre / nedre arm på fremre PRS,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],402
10,00:00,0.0,service equ -- cementing u nit,0.0,00:00,"Forsøkte å lekkasjeteste 13 3/8"" foringsrør til 300 bar; trykket lakk av på 90 bar og stabiliserte seg på 67 bar.","{""depths"": [], ""equipment"": [], ""measurements"": [""300 bar"", ""90 bar"", ""67 bar""], ""time_refs"": []}",[],[],"[""300 bar"", ""90 bar"", ""67 bar""]",[],405
11,00:00,2825.0,service equ -- spe cial service equ,0.0,00:00,"Schlumberger Xceed tool failed while drilling 12 1/4"" hole. The tool was set in a HIA mode (Hold Inc, Az.) from 2626 - 2773 m. Suspicions were arouse d when a slight build tendency was seen and the Xceed did not counteract. The Xceed was then set into a 10%","{""depths"": [""2773 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2773 m""]",[],[],[],408
12,00:00,2758.0,drill floor -- drilling control,0.0,00:00,Shut down on mudpumps. Troubleshot on mudpump. 1/2 hour operational downtime.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],408
13,00:00,2595.0,drill floor -- draw w orks,0.0,00:00,Troubleshoot on draw-work motor # 4.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],408
14,00:00,192.0,drill floor -- draw works,0.0,00:00,Changed encoder on DW motor #2,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],411
15,00:00,178.0,miscellaneous equ syst -- other,0.0,00:00,Stuck Drill collar in fingerboard.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],414
16,00:00,3437.0,mud and bulk syst -- mud supply,0.0,00:00,"Troubleshot on mudpumps #1 and 2. Repaird liner spray. 1,5 hour operational downtime.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],414
17,00:00,2595.0,miscellaneous equ syst -- other,0.0,00:00,Repair hydraulic leak at Iron roughneck,"{""depths"": [], ""equipment"": [""iron roughneck""], ""measurements"": [], ""time_refs"": []}",[],"[""iron roughneck""]",[],[],416
18,00:00,180.0,service equ -- cementing unit,0.0,00:00,"Leak at cement unit, while pressure test BOP. Repaired leakage. 2 hours operational downtime.","{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],416
19,00:00,84.0,service equ -- special service equ,0.0,00:00,Powerdrive,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],420
20,00:00,3422.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,"An oil leakage was observed on the aft IR (iron roughneck) during drilling. The operation was halted and the leakage was r epaired by the hydraulic mechanic. Downtime 0,75 hrs.","{""depths"": [], ""equipment"": [""iron roughneck""], ""measurements"": [], ""time_refs"": []}",[],"[""iron roughneck""]",[],[],423
21,00:00,2369.0,drill floor -- draw works,0.0,00:00,Hard trip on drawwork.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],425
22,00:00,3863.0,hoisting equ -- top drive,0.0,00:00,Temporary fix on air blower hose on TDS. The hose was buckled which may cause unsufficient cooling on T DS motors.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],426
23,00:00,4549.0,mud and bulk syst -- other,0.0,00:00,Leaking / washed out flange adaptor on DCI manifold end flange.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],427
24,00:00,4633.0,mud and bulk syst -- mud supply,0.0,00:00,Problems with liner spray system.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],428
25,00:00,4790.0,hoisting equ -- top drive,0.0,00:00,Changed gearbox oil on TDS.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],428
26,00:00,3420.0,hoisting equ -- top drive,0.0,00:00,Changed filter on TDS gearbox.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],431
27,00:00,4958.0,hoisting equ -- top drive,0.0,00:00,Leakage on TDS mounted link til cyliner. Recessed drilling. Cylinder was dismounted for repair.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],432
28,00:00,326.0,pipe handling equ syst -- other,0.0,00:00,Hydraulic leak in PS-21 slips.,"{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],434
29,00:00,1360.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Problems with aft PRS claw.,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],434
30,00:00,1440.0,pipe handling equ syst -- drill floor tube ha ndl syst,0.0,00:00,"Guide wheels on Weatherford 13 3/8"" casing tong could not run along dedicated railes. had to modify wheels.","{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],443
31,00:00,1399.0,pipe handling equ syst -- drill floor tube ha ndl syst,0.0,00:00,Conveyer belt did not work. Reparation carried out.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],443
32,00:00,25.0,miscellaneous equ sys t -- other,0.0,00:00,Incorrect allignment - unable to pass through hatch on weather deck,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],463
33,00:00,0.0,pipe handling equ syst -- elevator,0.0,00:00,"Casing running equipment not fit for purpose. 12 ft bails did not fit to 30"" hydraulic elevator.","{""depths"": [], ""equipment"": [""casing running equipment"", ""elevator"", ""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing running equipment"", ""elevator"", ""casing""]",[],[],463
34,00:00,0.0,pipe handling equ syst -- other,0.0,00:00,"Casing running equipment not fit for purpose - ID slips 32.5"", OD conductor connector 33.17""","{""depths"": [], ""equipment"": [""casing running equipment"", ""casing"", ""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""casing running equipment"", ""casing"", ""slips""]",[],[],463
35,00:00,14.0,miscellaneous equ sys t -- other,0.0,00:00,Casing running equipment not fit for purpose.,"{""depths"": [], ""equipment"": [""casing running equipment"", ""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing running equipment"", ""casing""]",[],[],463
36,00:00,22.0,service equ -- special service equ,0.0,00:00,At approximately 17:30 the failed Ontrack tool was at surface and broking out. At this point seal on OnTrack was seen to be out betw een modular stabulizer and OnTrack. Stopped the job. DD advised that this could be caused by a leaking/exploded lithium ba,"{""depths"": [], ""equipment"": [""ontrack""], ""measurements"": [], ""time_refs"": [""17:30""]}",[],"[""ontrack""]",[],"[""17:30""]",463
37,00:00,213.0,hoisting equ -- top driv e,0.0,00:00,"Details will follow as soons as they are available: At 01:15 half of two piece Pipe Handler Stabbing Guide below saver sub fell from top drive - No harm to personal. Pipe Handler Drill Pipe Guide fell from approximately 8 m, weight estimated 5 kg. Eval","{""depths"": [""8 m""], ""equipment"": [""pipe handler"", ""top drive""], ""measurements"": [], ""time_refs"": [""01:15""]}","[""8 m""]","[""pipe handler"", ""top drive""]",[],"[""01:15""]",463
38,00:00,184.0,service equ -- special service equ,0.0,00:00,"Unable to communicated with MWD tools. Drilled ahead while evaluating situation, MWD tools still inside 30"" conductor. Dicisuon m ade to POOH","{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],463
39,00:00,211.0,hoisting equ -- top driv e,0.0,00:00,Leak on IBOP actuator cylinder. Removed cylinder and plugged hoses.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],463
40,00:00,155.0,hoisting equ -- top driv e,0.0,00:00,Alignment cylinder needed repair.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],463
41,00:00,3646.0,hoisting equ -- top drive,0.0,00:00,TDS not able to maintain rpm due to loss of power.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],477
42,00:00,207.0,hoisting equ -- top drive,0.0,00:00,"Discovered leak on TDS oil cooler, isolated hydraulic system and dismantled cooler.","{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],477
43,00:00,14.3,hoisting equ -- top drive,0.0,00:00,Alignment cylinder,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],477
44,00:00,2808.0,pipe handling equ syst -- other,0.0,00:00,Trolley belt failure,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],497
45,00:00,4696.0,service equ -- special service e qu,0.0,00:00,To be updated when - Preliminary description After 3 sudden SPP increase of 5 bar and drop (volume in active pits increased and dropped at the same time) lost signal from all tools (no pulsing) at 20:45 10.06.2013 (depth-4519m MD). After recycling pumps,"{""depths"": [""4519m""], ""equipment"": [], ""measurements"": [""5 bar""], ""time_refs"": [""20:45""]}","[""4519m""]",[],"[""5 bar""]","[""20:45""]",497
46,00:00,1558.0,pipe handling equ syst -- other,0.0,00:00,Issue with blocks and pipe racking syste m,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],498
47,00:00,167.0,hoisting equ -- top drive,0.0,00:00,Troubleshot brake release failure.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],502
48,00:00,2796.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Top drive collided with drill pipe stand in pipe racking machine.,"{""depths"": [], ""equipment"": [""top drive""], ""measurements"": [], ""time_refs"": []}",[],"[""top drive""]",[],[],502
49,00:00,0.0,well control equ syst -- bop stack,0.0,00:00,Annular preventer failed to hold pressure during pressure test .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],513
50,00:00,715.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,HTS belt sensor defect.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],513
51,00:00,971.0,pipe handling equ syst -- elevator,0.0,00:00,"Observed hydraulic leak from elevator fitting, replaced same","{""depths"": [], ""equipment"": [""elevator""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator""]",[],[],513
52,00:00,0.0,service equ -- wellhead tubular equ,0.0,00:00,Not able to lock RT into riser due to internal hydraulic leak i RT .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],517
53,00:00,4420.0,service equ -- other,0.0,00:00,Lost communication with perforation BHA # 3. Pulled assembly to surface and identified failure in cablehead connection. Cablehe ad cut and sent to shore for investigation.,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],536
54,00:00,0.0,well control equ syst - - riser syst,0.0,00:00,xx,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],537
55,00:00,3919.0,service equ -- other,0.0,00:00,"Short circuit, loss of communication","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],537
56,00:00,3900.0,service equ -- other,0.0,00:00,Crossed wire on drum,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],537
57,00:00,0.0,service equ -- other,0.0,00:00,When pulling out of hole with wire line perforating assembly the wire line cable pulled out of the cablehead as the tool string was pulled into the toolcatcher. - No injuries or damage to equipment. When pulling out of hole the limit switch on the wirelin,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],537
58,00:00,4450.0,service equ -- other,0.0,00:00,"Prelimenary: RIH to 4470 m and initiated CCL logging run. Pulled back to 4450 m, recorded 7000lbs surface tension. Lost communication. Attempted to switch to tractor and recorded high amps. Payed out wire ¿ NO Response. Wireline reel estimated to be fro","{""depths"": [""4470 m"", ""4450 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""4470 m"", ""4450 m""]",[],[],[],537
59,00:00,3570.0,service equ -- other,0.0,00:00,Altus computer froze. Had to restart computer to be able to continue to RIH with tractor.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],542
60,00:00,3986.0,service equ -- other,0.0,00:00,Had trouble with the tractor power supply. Synergi will be linked when complete,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],542
61,00:00,0.0,service equ -- other,0.0,00:00,Not able to communicate properly with Altus VPM.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],542
62,00:00,2800.0,service equ -- other,0.0,00:00,Leak on the one drum for the hose running from the grease skid up to GIH. Isolated same and continued POOH with only o ne hose injecting grease to GIH. Log Information Run No Run No Service Company Service Company Depth Top mMD Depth Top mMD Depth Bottom mTVD Depth Bottom mTVD Tool Tool BHST (degC) BHST (degC) 103 Schlumberger 3430 4520 PBMS - RST -999.99,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],542
63,00:00,2800.0,service equ -- other,0.0,00:00,Not able to get contact with tractor. Checked surface equipment and reconnected power supply. Power supply worked again. Perforation Information Time of Opening Well Perf Time of Opening Well Perf Time of Closing Well Perf Time of Closing Well Perf Top of Perf mMD Top of Perf mMD Bottom of Perf Bottom of Perf mMD mMD Top of Perf TVD Top of Perf TVD Bottom of Perf Bottom of Perf TVD TVD,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],543
64,00:00,0.0,service equ -- other,0.0,00:00,Grease injection pump not working properly. Unable to deliver sufficient grease pressure from pum p.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],552
65,00:00,0.0,service equ -- other,0.0,00:00,Unable to open HMV with pump,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],552
66,00:00,0.0,service equ -- other,0.0,00:00,Leakage in O-ring on X-over between XMT and lower riser.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],552
67,00:00,0.0,miscellaneous equ syst -- other,0.0,00:00,During pressure test leak observed on bleed off manifold,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],557
68,00:00,0.0,service equ -- other,0.0,00:00,Attempted to pressure test lower riser and WL BOP. Observed leak in the connection between lower riser and XT. Drained riser and lifted lower ri ser and WL BOP from XT. Secured work place. Inspected connection. Observed scratches on the internal sealing fa,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],558
69,00:00,0.0,service equ -- other,0.0,00:00,"Winch operator instructed driller to pull up TDSto have 2 tons tension on slings on lubricator. As top sheeve wheel was also fastened to TDS and tool string was in top of lubricator, this lead to overpull of cable head to over 10% of safe pull. After dis","{""depths"": [], ""equipment"": [""tds""], ""measurements"": [""2 tons""], ""time_refs"": []}",[],"[""tds""]","[""2 tons""]",[],558
70,00:00,0.0,pipe handling equ syst -- d rill floor tube handl syst,0.0,00:00,Not able to back off connection,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],558
71,00:00,0.0,material handling syst -- b op transport syst,0.0,00:00,"Troubleshoot Bop lifter, sensor fault on test stump","{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],558
72,00:00,2589.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,Troubleshoot and changed linear transducer on Iron roughneck,"{""depths"": [], ""equipment"": [""iron roughneck""], ""measurements"": [], ""time_refs"": []}",[],"[""iron roughneck""]",[],[],559
73,00:00,3002.0,miscellaneous equ syst -- hydr pneum power packs,0.0,00:00,Repair hydraulic hose for Flush mounted slips,"{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],560
74,00:00,1944.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Leak in hydraulic hose on aft PRS,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],560
75,00:00,20.0,mud and bulk syst -- mud supply,0.0,00:00,Unable to control mud pumps from rig floor due to PLC issue,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],561
76,00:00,454.0,hoisting equ -- crown block,0.0,00:00,Detected unusual noise from crown block fast-line sheave. Inspected and found bearings to have failed.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],579
77,00:00,460.0,mud and bulk syst -- mud supply,0.0,00:00,All mud motors shut down simultanously. Awaiting report from Maersk.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],579
78,00:00,36.0,pipe handling equ syst -- drill floor tube han dl syst,0.0,00:00,Not able to pick up casing joints from pipedeck to catwalk. Awaiting report from Maersk.,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],579
79,00:00,201.0,pipe handling equ syst -- drill floor tube handl s yst,0.0,00:00,"Unable to lay out damaged 20"" casing joint due to problems with HTS kick down r oller.","{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],587
80,00:00,1317.0,material handling syst -- utility winchs,0.0,00:00,Not able to spin in TDS to cement stand.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],587
81,00:00,0.0,miscellaneous equ syst -- other,0.0,00:00,Installed wash pipe,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],592
82,00:00,1264.8,mud and bulk syst -- mud mixing storage,0.0,00:00,Leak on longitudinal flowline on main deck.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],592
83,00:00,1400.0,miscellaneous equ syst -- other,0.0,00:00,5 ea. cuttings screw conveyors plugged up.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],592
84,00:00,1500.0,miscellaneous equ syst -- other,0.0,00:00,Lost power supply from generators,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],592
85,00:00,901.0,hoisting equ -- top drive,0.0,00:00,"While running 14"" 169.65 kg/m casing a bolt on one out of four U-clamps sheared off. Potential 0.12kg*4m*9.81=5J. Series of event. Came down with top drive to approximately 3 m to P/U 14"" csg. joint. Moved horizontal tubular feeding machine in and tilte","{""depths"": [""4m"", ""3 m""], ""equipment"": [""top drive"", ""casing""], ""measurements"": [], ""time_refs"": []}","[""4m"", ""3 m""]","[""top drive"", ""casing""]",[],[],608
86,00:00,15.0,service equ -- spe cial service equ,0.0,00:00,When attempting to test SoundTrack (APX) tools it was found that the software was not updated in tool from the UK sector and incombateble with the OnTrack tool. Updated software in APX and OnTrack with assistance from onshore org. The component does NOT,"{""depths"": [], ""equipment"": [""ontrack""], ""measurements"": [], ""time_refs"": []}",[],"[""ontrack""]",[],[],608
87,00:00,2629.0,service equ -- spe cial service equ,0.0,00:00,"De-coding error - High speed decoding need a start up sequence to decode.When starting to drill the 8 1/2"" section startup sequence inisiated by it se lf. After picking up of bottom to make connection startup sequence did NOT inisiate. Found decoding sequen","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],608
88,00:00,2424.0,drill floor -- draw wor ks,0.0,00:00,"0600 hrs the ET was called to the floor because the driller faced problems with draw work. Investigation showed that the draw work motors torque up attempting to take the load from the draw work brake, but when the b reak released the casing lowered 2-3","{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],612
89,00:00,1780.0,miscellaneous equ syst -- other,0.0,00:00,Was unable to start screw conveyor when about to backload cuttings to boat .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],613
90,00:00,1247.0,pipe handling equ syst -- ot her,0.0,00:00,"RIH 14"" 169.65 kg/m csg from 1057 m to 1247 m filling every joint with 1.42 sg OBM. Observed leaking hose power tong.","{""depths"": [""1057 m"", ""1247 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""1057 m"", ""1247 m""]",[],[],[],614
91,00:00,1348.0,pipe handling equ syst -- ot her,0.0,00:00,Made up connection on pack-off. Checked and re-tightent allen screw lock keys securing pack-off on FAC .,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],614
92,00:00,1527.0,pipe handling equ syst -- ot her,0.0,00:00,Removed hydraulic hose on power tong stabbing guide and blanked off fitting on power tong.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],614
93,00:00,935.0,hoisting equ -- top drive,0.0,00:00,"While running 14"" 169.65 kg/m casing a bolt on one out of four U-clamps sheared off. Potential 0.12kg*4 m*9.81=5J. Series of event. Came down with top drive to approximately 3 m to P/U 14"" csg. joint. Moved horizontal tubular feeding machine in and tilte","{""depths"": [""4 m"", ""3 m""], ""equipment"": [""top drive"", ""casing""], ""measurements"": [], ""time_refs"": []}","[""4 m"", ""3 m""]","[""top drive"", ""casing""]",[],[],614
94,00:00,3350.0,service equ -- mud logging equ,0.0,00:00,Due to high winds mud logging unit shoot down. Started to build wind wall arround out let on unit. While attempting to purge unit the wind cause the purge sequence to start over Purged mud logging unit and re-booted computers,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],614
95,00:00,2570.0,miscellaneous equ syst - - other,0.0,00:00,"NOV service engineer was onboard to trouble shoot problems lately discovered in the rigs V-icis system. To continue with failure analysis a fail over test had to be performed. This was done after the BHA was pulled into th e shoe and lasted 1,25 h. Maer","{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],620
96,00:00,0.0,pipe handling equ syst -- vertical pipe handling eq u syst,0.0,00:00,"Problems with PRS. PRS outputs a signal that the pipe has been set down, when it is not.","{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],623
97,00:00,0.0,material handling syst -- dec k cranes,0.0,00:00,"Halted opertion due to problem with FWD PORT crane. Not able to start lifting in 30"" conductor joints from pipedeck t o drillfloor.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],625
98,00:00,251.0,service equ -- cementing uni t,0.0,00:00,Cement control screen froze / hung up after accidentally overpressuring the unit. Pressure was released physically b ut the software did not accept it.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],625
99,00:00,140.0,hoisting equ -- top drive,0.0,00:00,"Hydraulic leak on TDS. Repair time / downtime 0,5 hrs.","{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],627
100,00:00,0.0,hoisting equ -- top drive,0.0,00:00,Had to make repairs on TDS. Simultaneously installed new flowline isolation valve actuator.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],628
101,00:00,0.0,hoisting equ -- top drive,0.0,00:00,Changed dye brackets on TDS.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],628
102,00:00,180.0,well control equ syst -- riser syst,0.0,00:00,Not able to operate flowline isolation valve,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],629
103,00:00,141.0,pipe handling equ syst -- other,0.0,00:00,FWD PRS failed on proximity switch for old service platform.,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],629
104,00:00,225.0,miscellaneous eq u syst -- other,0.0,00:00,"Raw water pumpe failed and left rig with only 1 out of 3 pumpes available. Due to the criticality of the pumpe delivering firewater, cooling water etc the drilling operation is postphoned until the pump is replaced. A new pumpe will arrive by boat schedule","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],637
