operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
1,00:30,06:00,500.0,drilling,trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK + MILLING ASSEMBLY & ASSOCIATED BHA. CONTINUE TIH WITH DP.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],3
2,06:00,10:00,2211.0,drilling,trip,ok,"CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILLING ASSEMBLY. TAGGED 9 5/8"" BRIDGE-PLUG AT 2211 M DPM.",TRIP_IN,"{""depths"": [""2211 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2211 m""]",[],[],[],3
3,10:00,12:00,2211.0,drilling,drill,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,CUT,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],3
4,12:00,18:00,2207.0,drilling,drill,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2202 M MD - BOTTOM OF WINDOW = 2207 M MD. PUMPED 5 M3 HI-VIS PILL WHILE MILLING AT 2205 M.",CUT,"{""depths"": [""2202 m"", ""2207 m"", ""2205 m""], ""equipment"": [""casing""], ""measurements"": [""5 m3""], ""time_refs"": []}","[""2202 m"", ""2207 m"", ""2205 m""]","[""casing""]","[""5 m3""]",[],3
5,18:00,21:00,2213.0,drilling,drill,ok,DRILLED/MILLED NEW FORMATION FROM 2207 - 2213 M. PUMPED 5 M3 HI-VIS PILL WHILE DRILLING AT 2208 M.,CUT,"{""depths"": [""2213 m"", ""2208 m""], ""equipment"": [], ""measurements"": [""5 m3""], ""time_refs"": []}","[""2213 m"", ""2208 m""]",[],"[""5 m3""]",[],3
6,21:00,23:00,2213.0,drilling,drill,ok,"REAMED WINDOW. AFTER APPROXIMATELY 20 TIMES, STILL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M T WEIGHT. REAMED 5 ADDITIONAL TIMES - NOW ABLE TO SLACK-OFF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING.",CUT,"{""depths"": [""12 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""12 m""]",[],[],[],3
7,23:00,00:00,2196.0,drilling,circulat ing conditioning,ok,PUMPED 10 M3 HI-VIS PILL & CIRCULATED HOLE CLEAN AT 2000 LPM.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""2000 lpm"", ""10 m3""], ""time_refs"": []}",[],[],"[""2000 lpm"", ""10 m3""]",[],3
8,00:00,00:30,2196.0,drilling,cir culating con ditioning,ok,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KILL LINES.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
9,00:30,03:00,1110.0,drilling,trip,ok,"FLOW CHECKED, PUMPED SLUG & POOH TO PU DRILLING BHA.",TRIP_OUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],4
10,04:00,06:00,0.0,drilling,trip,ok,CONTINUED TO POOH WITH MILLING ASSEMBLY.,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
11,06:00,06:30,0.0,drilling,trip,ok,COMPLETED LD MILLING ASSEMBLY.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
12,06:30,09:00,173.0,drilling,trip,ok,MU DRILLING BHA; MOTOR TESTED OK.,CUT,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],4
13,09:00,10:00,800.0,drilling,trip,ok,TIH WITH BHA TO 800 M.,TRIP_IN,"{""depths"": [""800 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""800 m""]","[""bha""]",[],[],4
14,10:30,13:00,2193.0,drilling,trip,ok,CONTINUED TO TIH TO 2193 M WHILE PULLING YELLOW POD.,TRIP_IN,"{""depths"": [""2193 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2193 m""]",[],[],[],4
15,17:00,17:30,2193.0,drilling,bo p activities,ok,FUNCTION TESTED BOPS USING YELLOW POD - FROM RIG FLOOR PANEL.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],4
16,00:00,06:00,2202.0,drilling,trip,ok,MU MILLING BHA & TIH TO WHIPSTOCK.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],5
17,13:30,18:30,2187.0,drilling,trip,ok,"TIH TO 2187 M WITH 9 5/8"" BRIDGE PLUG ON DP.",TRIP_IN,"{""depths"": [""2187 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2187 m""]",[],[],[],5
18,18:30,19:30,2187.0,drilling,other,ok,SET BRIDGE PLUG AT 2187 M L.A.T. CONFIRMED SETTING BY SLACKING-OFF 10 MT DOWN ON PLUG.,CUT,"{""depths"": [""2187 m""], ""equipment"": [], ""measurements"": [""10 mt""], ""time_refs"": []}","[""2187 m""]",[],"[""10 mt""]",[],5
19,19:30,20:30,2187.0,drilling,circulating conditioning,ok,PUMPED 10 M3 HI-VIS PILL & CIRCULATED OUT.,CIRCULATE,"{""depths"": [], ""equipment"": [], ""measurements"": [""10 m3""], ""time_refs"": []}",[],[],"[""10 m3""]",[],5
20,20:30,00:00,0.0,drilling,trip,ok,"FLOWCHECKED, PUMPED SLUG & POOH WITH EZSV M.S.T.",TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],5
21,00:00,06:00,600.0,drilling,trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK ASSEMBLY. TIH WITH BHA ON DP.,TRIP_IN,"{""depths"": [], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""bha""]",[],[],6
22,06:00,10:00,2170.0,drilling,trip,ok,COMPLETED TIH WITH WHIPSTOCK TO 2170 M.,TRIP_IN,"{""depths"": [""2170 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2170 m""]",[],[],[],6
23,11:00,12:30,2187.0,interruption,sidetra ck,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,OTHER,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],6
