quality_check_id,table_name,field_name,severity,check_name,message,report_id
1,reports,operator,info,value_missing_before_next_label,No accepted value for operator,1.0
2,reports,rig_name,info,value_missing_before_next_label,No accepted value for rig_name,1.0
3,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,1.0
4,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,1.0
5,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,1.0
6,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,1.0
7,reports,depth_last_casing_mmd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mmd,1.0
8,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,1.0
9,reports,depth_formation_strength_mmd,info,value_missing_before_next_label,No accepted value for depth_formation_strength_mmd,1.0
10,reports,depth_formation_strength_mtvd,info,value_missing_before_next_label,No accepted value for depth_formation_strength_mtvd,1.0
11,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,1.0
12,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,1.0
13,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,2.0
14,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,2.0
15,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,2.0
16,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,2.0
17,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,2.0
18,reports,depth_formation_strength_mmd,info,value_missing_before_next_label,No accepted value for depth_formation_strength_mmd,2.0
19,reports,depth_formation_strength_mtvd,info,value_missing_before_next_label,No accepted value for depth_formation_strength_mtvd,2.0
20,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,2.0
21,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,3.0
22,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,3.0
23,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,3.0
24,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,3.0
25,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,4.0
26,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,4.0
27,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,4.0
28,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,4.0
29,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,4.0
30,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,4.0
31,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,5.0
32,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,5.0
33,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,5.0
34,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,5.0
35,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,5.0
36,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,5.0
37,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,5.0
38,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,6.0
39,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,6.0
40,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,6.0
41,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,6.0
42,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,6.0
43,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,6.0
44,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,7.0
45,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,7.0
46,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,7.0
47,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,7.0
48,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,7.0
49,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,7.0
50,reports,drilling_contractor,info,value_missing_before_next_label,No accepted value for drilling_contractor,8.0
51,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,8.0
52,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,8.0
53,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,8.0
