section_id,section_name,section_text,char_count,present,report_id
1,summary_activities_24h,None,37,True,1
2,summary_planned_24h,"None
Survey Station
Depth mMD
Depth mMD
Depth mTVD
Depth mTVD
Inclination (dega)
Inclination (dega)
Azimuth (dega)
Azimuth (dega)
Comment
Comment
2200
1638.3
58.96
281.75
2210
1643.4
59.98
283.75
2220
1648.4
59.98
283.75
2881.1
2175.2
19.62
9.88
3836.4
3075
19.62
9.88",309,True,1
3,operations,,0,False,1
4,equipment_failure,,0,False,1
5,drilling_fluid,,0,False,1
6,summary_activities_24h,MU BAKER WINDOWMASTER WHIPSTOCK & ASSOCIATED BHA & TIH.,88,True,2
7,summary_planned_24h,"TIH & SET BAKER WHIPSTOCK & MILL WINDOW IN 9 5/8"" CASING.",98,True,2
8,operations,,0,False,2
9,equipment_failure,,0,False,2
10,drilling_fluid,,0,False,2
11,summary_activities_24h,"FINISHED RIH WITH BAKER WINDOWMASTER WHIPSTOCK. ORIENTED & SET SAME.
CUT WINDOW FROM 2202-2207 M. DRILLED 6 M OF FORMATION.POOH FOR
DRILLING BHA.",178,True,3
12,summary_planned_24h,SIDETRACK HOLE.,56,True,3
