report_id,wellbore_id,pdf_name,page_number,row_index,Run No.,Bit Size,Bit Type,IADC Code,Manufacturer,Hrs Drilled,Start mMD,End mMD,Hole Made (last 24H),Hours Drilled (last 24H),Form ROP,Total ROP,Total Hole Made,Total Hrs Drilled
377,15/9-F-10,15_9_F_10_2009_04_08.pdf,1,1,1,17.5 in,XR+VEC,115,Smith Internation al,16,142.9,142.9,,,4,3.8,61.1,16
377,15/9-F-10,15_9_F_10_2009_04_08.pdf,1,2,1,36 in,HOLEOPE N,435X,Smith Red Baron,16,142.9,142.9,,,3.8,3.9,62.1,16
385,15/9-F-10,15_9_F_10_2009_04_16.pdf,1,1,2,26 in,MG04B,415,Smith Internation al,51.8,207,207,,,23,22.9,19,52.4
393,15/9-F-10,15_9_F_10_2009_04_24.pdf,1,1,3,17.5 in,RSR716M-C 9,,REED,3.2,1400,1400,,,19.7,19.7,63,3.2
400,15/9-F-10,15_9_F_10_2009_05_01.pdf,1,1,4,17.5 in,RSR716M-C 9,,REED,74.1,1463,1463,,,15.6,15.6,1153,74.1
407,15/9-F-10,15_9_F_10_2009_05_08.pdf,1,1,5,12.25 in,MDI716,M323,Smith Internation al,8.5,2616,2616,,,24.6,24.6,209,8.5
411,15/9-F-10,15_9_F_10_2009_05_12.pdf,1,1,6,12.25 in,MDI716,M323,Smith Internation al,49.2,2825,2825,,,10,10,494,49.2
414,15/9-F-10,15_9_F_10_2009_05_15.pdf,1,1,7,12.25 in,RSX819S,S422,HYCALOG,18.7,3319,3319,,,6.6,6.6,123,18.7
423,15/9-F-10,15_9_F_10_2009_05_24.pdf,1,1,9,8.5 in,RSR716D-C 8,M422,Reed-Hycalog,75.7,3442,3442,,,3.3,3.3,253.5,75.7
430,15/9-F-10,15_9_F_10_2009_05_31.pdf,1,1,10,8.5 in,RSR816M-C 1,M422,HYCALOG,65,3695.5,3695.5,,,18.7,18.7,1215.5,65
434,15/9-F-10,15_9_F_10_2009_06_04.pdf,1,1,1,8.5 in,RSR816M-C 1,M422,HYCALOG,19.6,4911,4911,,,21.4,21.4,420,19.6
449,15/9-F-11,15_9_F_11_2013_03_10.pdf,1,1,1,17.5 in,VM-T303DX 0,415,Hughes Christens en,10.8,146,146,,,5.7,5.7,62,10.8
452,15/9-F-11,15_9_F_11_2013_03_13.pdf,1,1,4,26 in,VG-03M,415,Hughes Christense n,1.2,208,208,,,13.3,10.8,28,2.6
457,15/9-F-11,15_9_F_11_2013_03_18.pdf,1,1,5,26 in,VG-03M,415,Hughes Christense n,7.6,224,224,,,16.2,16.2,123,7.6
460,15/9-F-11,15_9_F_11_2013_03_21.pdf,1,1,6,26 in,VG-1,115,Hughes Christense n,,224,224,,,,0,,7.6
473,15/9-F-11 A,15_9_F_11_A_2013_05_25.pdf,1,1,1,8.5 in,TD406X,,Hughes Christense n,58,2586,2586,,,20.3,20.5,1176,57.5
477,15/9-F-11 A,15_9_F_11_A_2013_05_29.pdf,1,1,2,12.25 in,QD507X,M423,Hughes Christense n,10.4,2585,2585,,,19.4,18.5,264,14.3
480,15/9-F-11 B,15_9_F_11_B_2013_05_31.pdf,1,1,1,12.25 in,QD507X,M423,Hughes Christense n,25.1,2585,2585,,,13.2,13.4,389,29
481,15/9-F-11 B,15_9_F_11_B_2013_06_01.pdf,1,1,2,12.25 in,DP605,M323,Hughes Christense n,10.1,2917,2917,,,27.7,27.7,280,10.1
487,15/9-F-11 B,15_9_F_11_B_2013_06_07.pdf,1,1,3,8.5 in,RC347,347,Hughes Christense n,0,3197,3197,,,,30.7,46,1.5
493,15/9-F-11 B,15_9_F_11_B_2013_06_13.pdf,1,1,4,8.5 in,DP406X,M233,Hughes Christense n,80.5,3197,3197,,,19.5,19.5,1573,80.5
570,15/9-F-11 T2,15_9_F_11_T2_2013_03_26.pdf,1,1,7,26 in,VG-1,115,Hughes Christense n,15,257,257,,,13.2,9.8,210.6,21.6
