report_id,wellbore_id,pdf_name,page_number,row_index,start_time,end_time,type_of_pipe,casing_type,outside_diameter_in,inside_diameter_in,weight_lbm_ft,grade,connection,length_m,top_mmd,bottom_mmd,description,comment
41,15/9-19 A,15_9_19_A_1997_09_02.pdf,2,1,,,Casing,,7,6.094,32,L-80,New Vam,3936,108,4044,,
147,15/9-19 BT2,15_9_19_BT2_1997_12_15.pdf,2,1,,,Liner,,7,6.094,32,L-80,New Vam,1101,2097,3198,,
212,15/9-19 S,15_9_19_S_1992_09_21.pdf,2,1,,,Casing,,30,,310,B,ST-2RB,62,104,166,,
216,15/9-19 S,15_9_19_S_1992_09_25.pdf,2,1,,,Casing,,20,,133,K-55,RL-4S,428,103,531,,
227,15/9-19 S,15_9_19_S_1992_11_28.pdf,2,1,,,Casing,,13.375,12.415,68,N-80,BTC API5B,1375.5,106.2,1481.7,,
322,15/9-19 ST2,15_9_19_ST2_1993_03_18.pdf,2,1,,,Liner,,7,6.094,32,L-80,New Vam SC,1437,3203,4640,,
322,15/9-19 ST2,15_9_19_ST2_1993_03_18.pdf,2,2,,,Liner,,7,6.094,32,13 Cr-80,New Vam SC,277,4119,4396,,
379,15/9-F-10,15_9_F_10_2009_04_10.pdf,2,1,06:00,12:15,Casing,Top,30,,456.6,X-65,ABB RL-4HC,25.4,139.7,165.1,"36"" Hole opener",
379,15/9-F-10,15_9_F_10_2009_04_10.pdf,2,2,06:00,12:15,Casing,Top,30,,309.7,X-52,ST-2RB,36.6,165.1,201.7,"36"" Hole opener",
387,15/9-F-10,15_9_F_10_2009_04_18.pdf,1,1,06:15,11:45,Casing,Top,20,18.73,133,N-80,TenarisER,1250,138.9,1388.9,"26"" drilling BHA",
403,15/9-F-10,15_9_F_10_2009_05_04.pdf,2,1,08:45,04:45,Casing,Intermediate,13.375,12.347,72,P-110,Vam TOP,2467.2,140.3,2607.5,"17 1/2"" Drilling BHA",
415,15/9-F-10,15_9_F_10_2009_05_16.pdf,2,1,01:45,12:45,Liner,Production,9.625,8.535,53.5,C-95,Vam TOP,934,2507,3441,"12 1/4"" Drilling BHA",
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,1,,,Casing,,30,27,457,X-56,GE Vetco RL-4 HC DS,25.4,140.1,165.5,,
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,2,,,Casing,,30,,309.7,X-52,ST-2RB,36.5,165.5,202,,
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,3,,,Casing,,30,28,309.7,X-52,ABB ST-2 FB,12.6,189.7,202.3,,
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,4,,,Casing,,30,28,309.7,X-52,ABB ST-2 FB,24.4,165.3,189.7,,
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,5,,,Casing,,30,27,457,X-56,GE Vetco RL-4 HC DS,12.3,153,165.3,,
453,15/9-F-11,15_9_F_11_2013_03_14.pdf,2,6,,,Casing,,30,27,457,X-56,GE Vetco RL-4 HC DS,12.9,140.1,153,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,1,,,Liner,,7,6.184,29,13 CrS-11 0,Vam TOP HT,6,3991.1,3997.1,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,2,,,Liner,,7,6.184,29,13 CrS-11 0,Vam TOP HT,400.44,3997.06,4397.5,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,3,,,Liner,,7,6.184,29,13 CrS-11 0,Vam TOP HT,5.9,4397.5,4403.4,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,4,,,Liner,,7,6.184,29,13 CrS-11 0,Vam TOP HT,304.32,4403.38,4707.7,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,5,,,Liner,,7,6.184,29,13 CrS-11 0,Vam TOP HT,.36,4707.74,4708.1,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,6,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,12.43,4708.1,4720.53,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,7,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,35.47,4720.53,4756,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,8,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,12.68,4756.02,4768.7,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,9,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,4.05,3443.24,3447.29,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,10,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,152.91,3447.29,3600.2,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,11,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,5.89,3600.16,3606.05,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,12,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,225.25,3606.05,3831.3,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,13,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,6.03,3831.27,3837.3,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,14,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,8.04,3094.7,3102.74,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,15,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,340.54,3102.7,3443.24,,
495,15/9-F-11 B,15_9_F_11_B_2013_06_15.pdf,2,16,,,Liner,,7,6.184,29,13 CrS-110,Vam TOP HT,153.81,3837.29,3991.1,,
581,15/9-F-11 T2,15_9_F_11_T2_2013_04_06.pdf,2,1,,,Casing,,20,18.73,133,N-80,TenarisER,12.96,1344.72,1357.68,,
581,15/9-F-11 T2,15_9_F_11_T2_2013_04_06.pdf,2,2,,,Casing,,20,18.73,133,N-80,TenarisER,12.82,1331.9,1344.72,,
581,15/9-F-11 T2,15_9_F_11_T2_2013_04_06.pdf,2,3,,,Casing,,20,18.73,133,N-80,TenarisER,1182.38,149.52,1331.9,,
581,15/9-F-11 T2,15_9_F_11_T2_2013_04_06.pdf,2,4,,,Casing,,20,18.73,133,N-80,TenarisER,10.31,139.21,149.52,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,1,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,11.67,146.13,157.8,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,2,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,.2,2541.3,2541.5,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,3,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,5.69,2541.5,2547.19,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,4,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,11.06,2547.19,2558.25,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,5,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,12.38,2558.3,2570.68,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,6,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,4,157.8,161.8,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,7,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,2104.05,161.8,2265.85,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,8,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,270.1,2265.9,2536,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,9,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,5.3,2536,2541.3,,
602,15/9-F-11 T2,15_9_F_11_T2_2013_04_27.pdf,2,10,,,Casing,,14,12.4,114,SM125S,Vam TOP KB,5.73,140.4,146.13,,
624,15/9-F-12,15_9_F_12_2007_06_17.pdf,2,1,01:45,14:15,Casing,Top,30,,456.6,X-65,ABB RL-4HC,25.4,140,165.4,"36"" hole opener BHA",
624,15/9-F-12,15_9_F_12_2007_06_17.pdf,2,2,01:45,14:15,Casing,Top,30,28,309.7,X-52,ABB ST-2 FB,85.6,165.4,251,"36"" hole opener BHA",
652,15/9-F-12,15_9_F_12_2007_07_15.pdf,2,1,17:00,18:30,Casing,Top,20,18.73,133,N-80,AntaresER,1212,145,1357,"26"" Motor BHA",
673,15/9-F-12,15_9_F_12_2007_08_05.pdf,2,1,03:00,00:00,Casing,Intermediate,14,12.66,96.6,P-110,Vam TOP KA,2366,140,2506,"12 1/4"" Drilling BHA",
688,15/9-F-12,15_9_F_12_2007_08_20.pdf,2,1,12:45,13:00,Liner,Production,9.625,8.535,53.5,13 Cr-80,Vam TOP,708.6,2404.4,3113,Running of liner hanger assy,
697,15/9-F-12,15_9_F_12_2007_08_29.pdf,2,1,14:00,10:00,Liner,Production,7,6.184,29,13 CrS-110,Vam TOP HT,496,3023,3519,Running of liner hanger assy,
792,15/9-F-14,15_9_F_14_2007_11_12.pdf,2,1,15:00,13:00,Casing,Top,30,28,309.7,X-52,ABB ST-2 FB,31.2,165.6,196.8,"36"" HO BHA",
792,15/9-F-14,15_9_F_14_2007_11_12.pdf,2,2,15:00,13:00,Casing,Top,30,,456.6,X-65,ABB RL-4HC,25.5,140.1,165.6,"36"" HO BHA",
805,15/9-F-14,15_9_F_14_2007_12_12.pdf,2,1,,,Casing,,20,18.73,133,N-80,AntaresER,938,138.9,1076.9,,
819,15/9-F-14,15_9_F_14_2008_05_19.pdf,2,1,04:30,08:45,Casing,Intermediate,14,12.66,96.9,P-110,Vam TOP,2134.9,140.5,2275.4,"17.5"" Drilling BHA",
827,15/9-F-14,15_9_F_14_2008_05_27.pdf,2,1,,,Casing,,9.625,8.535,53.5,13 Cr-80,Vam TOP,1179.1,1604.4,2783.5,,
827,15/9-F-14,15_9_F_14_2008_05_27.pdf,2,2,,,Casing,,10.75,9.66,60.7,13 Cr-80,Vam TOP,1463.9,140.5,1604.4,,
840,15/9-F-14,15_9_F_14_2008_06_09.pdf,2,1,,,Casing,,10.75,9.66,60.7,13 Cr-80,Vam TOP,120,20.5,140.5,,
849,15/9-F-14,15_9_F_14_2008_06_18.pdf,2,1,,,Casing,,7,6.184,29,13 CrS-110,Vam TOP HT,1079,2616,3695,,
858,15/9-F-14,15_9_F_14_2008_06_27.pdf,2,1,,,Casing,,7,6.184,29,13 CrS-110,Vam TOP,2599.1,20.5,2619.6,,
921,15/9-F-15,15_9_F_15_2007_11_20.pdf,2,1,,,Casing,,30,28,309.7,X-65,ABB RL-4,80.9,139.7,220.6,,
931,15/9-F-15,15_9_F_15_2007_12_30.pdf,2,1,,,Casing,,20,18.73,133,N-80,TenarisER,1228.7,139.7,1368.4,,
951,15/9-F-15,15_9_F_15_2008_10_02.pdf,1,1,,,Casing,,13.375,12.347,72,P-110,Vam TOP,2421.4,140.4,2561.8,,
955,15/9-F-15,15_9_F_15_2008_10_06.pdf,1,1,,,Casing,,9.625,8.535,53.5,C-95,Vam TOP,2393.6,140.4,2534,,
