report_id,wellbore_id,pdf_name,page_number,row_index,Core No,Depth Top mMD,Depth Bottom mMD,Core Length (m),Recover core (%),Core barrel length (m),Inner barrel type,Description
22,15/9-19 A,15_9_19_A_1997_08_14.pdf,2,1,1,3838,3854,15.2,95.1,28,aluminum,none
23,15/9-19 A,15_9_19_A_1997_08_15.pdf,2,1,2,3854,3881.5,27.7,100,28,aluminum,none
24,15/9-19 A,15_9_19_A_1997_08_16.pdf,2,1,3,3881.5,3908.5,26.9,99.6,28,aluminum,none
25,15/9-19 A,15_9_19_A_1997_08_17.pdf,2,1,4,3908.5,3935.5,26,96.3,28,aluminum,none
26,15/9-19 A,15_9_19_A_1997_08_18.pdf,2,1,5,3935.5,3962.5,27.5,102,28,aluminum,none
26,15/9-19 A,15_9_19_A_1997_08_18.pdf,2,2,6,3962.5,3990,27.6,100.5,28,aluminum,none
28,15/9-19 A,15_9_19_A_1997_08_20.pdf,2,1,7,3990,4017,26.7,98.9,28,aluminum,none
169,15/9-19 BT2,15_9_19_BT2_1998_01_06.pdf,2,1,1,4037,4054.5,12.8,73,18.5,aluminum,none
170,15/9-19 BT2,15_9_19_BT2_1998_01_07.pdf,2,1,2,4054.5,4072,17.3,98.9,18.5,aluminum,none
171,15/9-19 BT2,15_9_19_BT2_1998_01_08.pdf,2,1,3,4072,4090,18,100,18.5,aluminum,none
172,15/9-19 BT2,15_9_19_BT2_1998_01_09.pdf,2,1,4,4090.5,4109,18.8,100,18.5,aluminum,none
304,15/9-19 ST2,15_9_19_ST2_1993_02_28.pdf,2,1,1,3643,3648,4.7,94,27,aluminum,none
313,15/9-19 ST2,15_9_19_ST2_1993_03_09.pdf,2,1,2,4328,4355,26.2,96.9,27,aluminum,none
314,15/9-19 ST2,15_9_19_ST2_1993_03_10.pdf,2,1,3,4355,4383,28.2,100.5,28,aluminum,none
