report_id,wellbore_id,pdf_name,page_number,row_index,Time,Class,Depth to Top mMD,Depth to Bottom MD,Depth to Top mTVD,Depth to Bottom TVD,Highest Gas (%),Lowest Gas (),C1 (ppm),C2 (ppm),C3 (ppm),IC4 (ppm),IC5 (ppm),Depth to Top TVD
3,15/9-19 A,15_9_19_A_1997_07_26.pdf,2,1,00:00,drilling gas pea k,2213,,1644,,.1,,800,10,-999.99,-999.99,-999.99,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,1,00:00,drilling gas pea k,2231,,1654.2,,.3,,1588,21,7,1,-999.99,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,2,00:00,drilling gas pea k,2237,,1657.3,,.37,,2812,26,21,1,-999.99,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,3,00:00,drilling gas pea k,2384,,1756.1,,.51,,3430,23,21,2,-999.99,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,1,00:00,drilling gas pea k,2712,,2025.4,,.34,,2494,30,12,2,-999.99,
9,15/9-19 A,15_9_19_A_1997_08_01.pdf,2,1,00:00,trip gas,2768,,2075.7,,.05,,280,15,2,-999.99,-999.99,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,1,00:00,connection ga s,2912,,,,1.01,,7304,72,23,2,-999.99,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,2,00:00,connection ga s,2942,,,,.83,,5763,38,2,2,-999.99,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,3,00:00,connection ga s,2970,,,,.69,,4742,146,30,2,-999.99,
13,15/9-19 A,15_9_19_A_1997_08_05.pdf,2,1,00:00,trip gas,20,,,,2.2,,16527,20,19,3,-999.99,
13,15/9-19 A,15_9_19_A_1997_08_05.pdf,2,2,00:00,connection ga s,3029,,,,.52,,2681,27,17,1,-999.99,
13,15/9-19 A,15_9_19_A_1997_08_05.pdf,2,3,00:00,trip gas,3057,,,,1.4,,60,741,18,3,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,1,00:00,connection ga s,3089,,,,.23,,1275,38,9,1,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,2,00:00,connection ga s,3116,,,,.2,,1180,29,4,-999.99,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,3,00:00,connection ga s,3146,,,,.18,,960,24,6,1,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,4,00:00,connection ga s,3175,,,,.8,,4366,121,42,1,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,5,00:00,connection ga s,3203,,,,1.5,,13600,105,28,1,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,6,00:00,connection ga s,3232,,,,1.07,,7191,258,46,3,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,7,00:00,connection ga s,3319,,,,.58,,4239,79,24,2,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,8,00:00,connection ga s,3349,,,,.15,,650,20,1,1,-999.99,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,9,00:00,connection ga s,3379,,,,1.36,,10024,43,284,7,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,1,00:00,connection gas,3405,,,,1.52,,10418,4,41,3,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,2,00:00,connection gas,3435,,,,1.17,,7028,1521,30,2,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,3,00:00,connection gas,3464,,,,1.67,,12968,43,2,4,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,4,00:00,drilling gas pea k,3466,,,,.75,,4795,43,18,2,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,5,00:00,connection gas,3494,,,,1.32,,8246,38,31,2,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,6,00:00,connection gas,3524,,,,.61,,4211,45,26,1,-999.99,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,7,00:00,connection gas,3552,,,,1.26,,8514,47,3,3,-999.99,
16,15/9-19 A,15_9_19_A_1997_08_08.pdf,2,1,00:00,connection ga s,3581,,,,1.34,,9654,169,53,4,-999.99,
16,15/9-19 A,15_9_19_A_1997_08_08.pdf,2,2,00:00,connection ga s,3632,,,,.68,,3100,68,1,3,-999.99,
17,15/9-19 A,15_9_19_A_1997_08_09.pdf,2,1,00:00,trip gas,3632,,2866,,3.08,,25386,1440,3,1,1,
17,15/9-19 A,15_9_19_A_1997_08_09.pdf,2,2,00:00,connection ga s,3637,,,,.59,,4511,41,30,1,-999.99,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,1,00:00,trip gas,3653,,,,2.35,,20061,1110,48,2,-999.99,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,2,00:00,connection ga s,3694,,,,1.21,,8347,459,106,14,6,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,3,00:00,connection ga s,3753,,,,.58,,4143,101,80,6,4,
19,15/9-19 A,15_9_19_A_1997_08_11.pdf,2,1,00:00,connection gas,3781,,,,.96,,6646,242,134,10,6,
19,15/9-19 A,15_9_19_A_1997_08_11.pdf,2,2,00:00,drilling gas pea k,3800,,,,1.43,,8058,747,270,25,8,
19,15/9-19 A,15_9_19_A_1997_08_11.pdf,2,3,00:00,connection gas,3811,,,,1.07,,6142,108,72,5,4,
20,15/9-19 A,15_9_19_A_1997_08_12.pdf,2,1,00:00,trip gas,3823,,,,2.33,,12553,1582,266,23,6,
