report_id,wellbore_id,pdf_name,page_number,row_index,Start Depth mMD,End Depth mMD,Start Depth TVD,End Depth TVD,Shows Description,Lithology Description,Start Depth mTVD,End Depth mTVD
3,15/9-19 A,15_9_19_A_1997_07_26.pdf,2,1,2206,-999.99,,,,CLAYSTONES - HORDALAND GROUP,,
6,15/9-19 A,15_9_19_A_1997_07_29.pdf,2,1,2183,-999.99,,,,CLAYSTONE - HORDALAND GROUP,,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,1,2202,-999.99,,,,CLAYSTONES WITH THIN LIMESTONE STRINGERS - HORDALAND GROUP,,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,1,2400,-999.99,,,,CLAYSTONES WITH SOME DOLOMITE STRINGERS - HORDALAND GROUP,,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,2,2610,-999.99,,,,CLAYSTONES WITH SOME DOLOMITE/LIMESTONE STRINGERS - HORDALAND GROUP,,
9,15/9-19 A,15_9_19_A_1997_08_01.pdf,2,1,2760,-999.99,,,,CLAYSTONE WITH SOME DOLOMITE/LIMESTONE STRINGERS - HORDALAND GROUP,,
10,15/9-19 A,15_9_19_A_1997_08_02.pdf,2,1,2768,-999.99,,,,CLAYSTONE WITH INCREASING AMOUNT OF ANHYDRITE/GYPSUM TOWARDS 2783M,,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,1,2783,-999.99,,,,CLAYSTONE WITH GYPSUM,,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,2,2840,-999.99,,,,CLAYSTONE WITH LAYERS OF SANDSTONE/TUFF,,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,3,2940,-999.99,,,,CLAYSTONE WITH VARIOUS AMOUNTS OF TUFF,,
13,15/9-19 A,15_9_19_A_1997_08_05.pdf,2,1,3010,-999.99,,,,CLAYSTONE WITH MINOR LIMESTONE STRINGERS,,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,1,3050,-999.99,,,,CLAYSTONE WITH BEDS OF LIMESTONE/SILTSTONE,,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,2,3178,-999.99,,,,SANDSTONE WITH BEDS OF SILTSTONE/CLAYSTONE,,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,3,3308,-999.99,,,,LIMESTONE,,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,1,3390,-999.99,,,,LIMESTONE GRADING TO MARL WITH DEPTH,,
16,15/9-19 A,15_9_19_A_1997_08_08.pdf,2,1,3573,-999.99,,,,MARL INTERBEDDED WITH LIMESTONE,,
17,15/9-19 A,15_9_19_A_1997_08_09.pdf,2,1,3632,-999.99,,,,MARL AND CLAYSTONE WITH BEDS OF LIMESTONE,,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,1,3653,-999.99,,,,"INTERBEDDED MARL, LIMESTONE AND CLAYSTONE",,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,2,3667.5,-999.99,,,,CLAYSTONE WITH OCCASIONAL BEDS OF LIMESTONE,,
19,15/9-19 A,15_9_19_A_1997_08_11.pdf,2,1,3774,-999.99,,,,CLAYSTONE,,
