report_id,wellbore_id,pdf_name,page_number,row_index,Run No,Service Company,Depth Top mMD,Depth Bottom mTVD,Tool,BHST (degC)
30,15/9-19 A,15_9_19_A_1997_08_22.pdf,2,1,1,Western Atlas,2128,2754,HDIL - MAC - DGR - CH T,-999.99
31,15/9-19 A,15_9_19_A_1997_08_23.pdf,1,1,2,Western Atlas,980,2670,VSP - G R,-999.99
32,15/9-19 A,15_9_19_A_1997_08_24.pdf,2,1,3,Western Atlas,2178,4131,HDIL - MAC - ZDL - CND - SPL - VSP - CH T,-999.99
37,15/9-19 A,15_9_19_A_1997_08_29.pdf,2,1,5,Western Atlas,-999.99,-999.99,FMT - MAC - ZDL - HDIL - G R,-999.99
78,15/9-19 A,15_9_19_A_1997_10_09.pdf,2,1,6,Western Atlas,2592,3993,SBT - GR - C L,-999.99
80,15/9-19 A,15_9_19_A_1997_10_11.pdf,2,1,7,Western Atlas,2600,3500,MAC - G R,-999.99
82,15/9-19 A,15_9_19_A_1997_10_13.pdf,2,1,8,Western Atlas,3940,4016,CCL,-999.99
86,15/9-19 A,15_9_19_A_1997_10_17.pdf,2,1,9,Western Atlas,3475,3983,GR - C L,-999.99
174,15/9-19 BT2,15_9_19_BT2_1998_01_11.pdf,2,1,1,Western Atlas,2095,3198,MAC - GR - TTR M,-999.99
175,15/9-19 BT2,15_9_19_BT2_1998_01_12.pdf,2,1,2,Western Atlas,2195,3200,VSP - G R,-999.99
178,15/9-19 BT2,15_9_19_BT2_1998_01_15.pdf,2,1,3,Western Atlas,3175,4210,VSP - GR,-999.99
178,15/9-19 BT2,15_9_19_BT2_1998_01_15.pdf,2,2,4,Western Atlas,3180,4240,TTRM - DSL - ZDL - CND - MAC,-999.99
180,15/9-19 BT2,15_9_19_BT2_1998_01_17.pdf,2,1,5,Western Atlas,3223,4200,FMT - G R,-999.99
182,15/9-19 BT2,15_9_19_BT2_1998_01_19.pdf,2,1,6,Western Atlas,3770,4230,SWC - G R,-999.99
318,15/9-19 ST2,15_9_19_ST2_1993_03_14.pdf,2,1,1,Western Atlas,3568,4595,DIFL - AC - ZDL - CN - GR - CHT,-999.99
392,15/9-F-10,15_9_F_10_2009_04_23.pdf,2,1,100,Schlumberger,1400,1463,ARCVRES9,-999.99
393,15/9-F-10,15_9_F_10_2009_04_24.pdf,2,1,101,Schlumberger,1463,-999.99,ARCVRES9,-999.99
399,15/9-F-10,15_9_F_10_2009_04_30.pdf,2,1,102,Schlumberger,1463,2616,ARCVRES9,-999.99
408,15/9-F-10,15_9_F_10_2009_05_09.pdf,2,1,103,Schlumberger,2616,2598,ARCVRES8,-999.99
408,15/9-F-10,15_9_F_10_2009_05_09.pdf,2,2,105,Schlumberger,2598,3319,ARCVRES8,-999.99
412,15/9-F-10,15_9_F_10_2009_05_13.pdf,2,1,107,Schlumberger,3319,3442,ARCVRES8,-999.99
423,15/9-F-10,15_9_F_10_2009_05_24.pdf,2,1,109,Schlumberger,3442,3695.5,ECOSCOPE - STETHSCOPE - TELESCOPE - ISON,-999.99
426,15/9-F-10,15_9_F_10_2009_05_27.pdf,2,1,108,Schlumberger,3695.5,4750,TELESCOPE,-999.99
433,15/9-F-10,15_9_F_10_2009_06_03.pdf,2,1,110,Schlumberger,4911,5331,ECOSCOPE - STETHSCOPE - TELESCOPE - ISON,-999.99
456,15/9-F-11,15_9_F_11_2013_03_17.pdf,2,1,100,Baker Hughes Inteq,208,224,OnTrak,-999.99
459,15/9-F-11,15_9_F_11_2013_03_20.pdf,3,1,101,Baker Hughes Inteq,224,347,OnTrak,-999.99
472,15/9-F-11 A,15_9_F_11_A_2013_05_24.pdf,2,1,100,Baker Hughes Inteq,2586,3762,COP - OnTrak - ORD - CCN - TesTrak - SO U,-999.99
479,15/9-F-11 B,15_9_F_11_B_2013_05_30.pdf,2,1,100,Baker Hughes Inteq,2575,2917,AutoTrak - COP - OnTrak,-999.99
481,15/9-F-11 B,15_9_F_11_B_2013_06_01.pdf,2,1,101,Baker Hughes Inteq,2917,3197,AutoTrak - COP - OnTrak,-999.99
493,15/9-F-11 B,15_9_F_11_B_2013_06_13.pdf,2,1,102,Baker Hughes Inteq,3197,4770,AutoTrak - COP - AZITRAK - LITHOTRAK,-999.99
569,15/9-F-11 T2,15_9_F_11_T2_2013_03_25.pdf,2,1,100,Baker Hughes Inteq,207,454,OnTrak,-999.99
596,15/9-F-11 T2,15_9_F_11_T2_2013_04_21.pdf,2,1,102,Baker Hughes Inteq,1365,2475,OnTrak,-999.99
611,15/9-F-11 T2,15_9_F_11_T2_2013_05_06.pdf,2,1,103,Baker Hughes Inteq,2577,3279,COP - OnTrak - ORD - CCN - TesTrak - SO U,-999.99
613,15/9-F-11 T2,15_9_F_11_T2_2013_05_08.pdf,2,1,1,Schlumberger,4530,627,VSI4 - Schlumberger,-999.99
637,15/9-F-12,15_9_F_12_2007_06_30.pdf,2,1,100,Schlumberger,261,1353,ARCVRES6 - VSONIC6 - VADN6 - TELESCOPE,-999.99
657,15/9-F-12,15_9_F_12_2007_07_20.pdf,2,1,101,Schlumberger,1353,2573,POWERPULSE - Schlumberger,-999.99
685,15/9-F-12,15_9_F_12_2007_08_17.pdf,2,1,102,Schlumberger,2573,3114,ARCVRES8 - TELESCOPE,-999.99
693,15/9-F-12,15_9_F_12_2007_08_25.pdf,2,1,103,Schlumberger,3114,3520,TST6FPWD - ECOSCOPE - TELESCOPE,-999.99
815,15/9-F-14,15_9_F_14_2008_05_15.pdf,2,1,100,Schlumberger,1083,-999.99,ARCVRES8 - POWERPULSE - ISONIC8,-999.99
844,15/9-F-14,15_9_F_14_2008_06_13.pdf,2,1,101,Schlumberger,2788,3750,STETHSCOPE - ECOSCOPE - ISONIC6 - TELESC,-999.99
993,15/9-F-15 A,15_9_F_15_A_2008_12_16.pdf,2,1,104,Schlumberger,1368,2591,POWERPULSE - ARCVRES8,-999.99
