report_id,wellbore_id,pdf_name,tables_json
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,"{""Survey Station"": [{""Depth mMD"": ""20"", ""Depth mTVD"": ""1638.3"", ""Inclination (dega)"": ""58.96"", ""Azimuth (dega)"": ""281.75"", ""Comment"": null}, {""Depth mMD"": ""2210"", ""Depth mTVD"": ""1643.4"", ""Inclination (dega)"": ""59.98"", ""Azimuth (dega)"": ""283.75"", ""Comment"": null}, {""Depth mMD"": ""2220"", ""Depth mTVD"": ""1648.4"", ""Inclination (dega)"": ""59.98"", ""Azimuth (dega)"": ""283.75"", ""Comment"": null}, {""Depth mMD"": ""2881.1"", ""Depth mTVD"": ""2175.2"", ""Inclination (dega)"": ""19.62"", ""Azimuth (dega)"": ""9.88"", ""Comment"": null}, {""Depth mMD"": ""3836.4"", ""Depth mTVD"": ""3075"", ""Inclination (dega)"": ""19.62"", ""Azimuth (dega)"": ""9.88"", ""Comment"": null}]}"
2,15/9-19 A,15_9_19_A_1997_07_25.pdf,{}
3,15/9-19 A,15_9_19_A_1997_07_26.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2213"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}], ""Lithology Information"": [{""Start Depth mMD"": ""2206"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONES - HORDALAND GROUP""}], ""Gas Reading Information"": [{""Time"": ""00:00"", ""Class"": ""drilling gas pea k"", ""Depth to Top mMD"": ""2213"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""1644"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".1"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""800"", ""C2 (ppm)"": ""10"", ""C3 (ppm)"": ""-999.99"", ""IC4 (ppm)"": ""-999.99"", ""IC5 (ppm)"": ""-999.99""}]}"
4,15/9-19 A,15_9_19_A_1997_07_27.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2213"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}]}"
5,15/9-19 A,15_9_19_A_1997_07_28.pdf,{}
6,15/9-19 A,15_9_19_A_1997_07_29.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2178"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}], ""Lithology Information"": [{""Start Depth mMD"": ""2183"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONE - HORDALAND GROUP""}]}"
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2405"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}], ""Survey Station"": [{""Depth mMD"": ""2178"", ""Depth mTVD"": ""1626.9"", ""Inclination (dega)"": ""58.95"", ""Azimuth (dega)"": ""281.88"", ""Comment"": null}, {""Depth mMD"": ""2289"", ""Depth mTVD"": ""1691.1"", ""Inclination (dega)"": ""50.3"", ""Azimuth (dega)"": ""282.7"", ""Comment"": null}, {""Depth mMD"": ""2318"", ""Depth mTVD"": ""1710.1"", ""Inclination (dega)"": ""48.3"", ""Azimuth (dega)"": ""284.3"", ""Comment"": null}, {""Depth mMD"": ""2348"", ""Depth mTVD"": ""1730.5"", ""Inclination (dega)"": ""45.8"", ""Azimuth (dega)"": ""286.8"", ""Comment"": null}], ""Lithology Information"": [{""Start Depth mMD"": ""2202"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONES WITH THIN LIMESTONE STRINGERS - HORDALAND GROUP""}], ""Gas Reading Information"": [{""Time"": ""00:00"", ""Class"": ""drilling gas pea k"", ""Depth to Top mMD"": ""2231"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""1654.2"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".3"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""1588"", ""C2 (ppm)"": ""21"", ""C3 (ppm)"": ""7"", ""IC4 (ppm)"": ""1"", ""IC5 (ppm)"": ""-999.99""}, {""Time"": ""00:00"", ""Class"": ""drilling gas pea k"", ""Depth to Top mMD"": ""2237"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""1657.3"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".37"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""2812"", ""C2 (ppm)"": ""26"", ""C3 (ppm)"": ""21"", ""IC4 (ppm)"": ""1"", ""IC5 (ppm)"": ""-999.99""}, {""Time"": ""00:00"", ""Class"": ""drilling gas pea k"", ""Depth to Top mMD"": ""2384"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""1756.1"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".51"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""3430"", ""C2 (ppm)"": ""23"", ""C3 (ppm)"": ""21"", ""IC4 (ppm)"": ""2"", ""IC5 (ppm)"": ""-999.99""}]}"
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,"{""Survey Station"": [{""Depth mMD"": ""2377"", ""Depth mTVD"": ""1751.1"", ""Inclination (dega)"": ""43.9"", ""Azimuth (dega)"": ""286.3"", ""Comment"": null}, {""Depth mMD"": ""2406"", ""Depth mTVD"": ""1772.3"", ""Inclination (dega)"": ""42"", ""Azimuth (dega)"": ""288.7"", ""Comment"": null}, {""Depth mMD"": ""2435"", ""Depth mTVD"": ""1794.1"", ""Inclination (dega)"": ""40.5"", ""Azimuth (dega)"": ""289.1"", ""Comment"": null}, {""Depth mMD"": ""2464"", ""Depth mTVD"": ""1816.5"", ""Inclination (dega)"": ""38.5"", ""Azimuth (dega)"": ""291.7"", ""Comment"": null}, {""Depth mMD"": ""2493"", ""Depth mTVD"": ""1839.4"", ""Inclination (dega)"": ""36.7"", ""Azimuth (dega)"": ""293.5"", ""Comment"": null}, {""Depth mMD"": ""2521"", ""Depth mTVD"": ""1862"", ""Inclination (dega)"": ""36"", ""Azimuth (dega)"": ""294.5"", ""Comment"": null}, {""Depth mMD"": ""2550"", ""Depth mTVD"": ""1885.6"", ""Inclination (dega)"": ""34.9"", ""Azimuth (dega)"": ""297.3"", ""Comment"": null}, {""Depth mMD"": ""2579"", ""Depth mTVD"": ""1909.7"", ""Inclination (dega)"": ""32.7"", ""Azimuth (dega)"": ""299.4"", ""Comment"": null}, {""Depth mMD"": ""2608"", ""Depth mTVD"": ""1934.4"", ""Inclination (dega)"": ""30.8"", ""Azimuth (dega)"": ""301"", ""Comment"": null}, {""Depth mMD"": ""2636"", ""Depth mTVD"": ""1958.6"", ""Inclination (dega)"": ""29.6"", ""Azimuth (dega)"": ""304.7"", ""Comment"": null}, {""Depth mMD"": ""2665"", ""Depth mTVD"": ""1983.9"", ""Inclination (dega)"": ""28.9"", ""Azimuth (dega)"": ""309.1"", ""Comment"": null}, {""Depth mMD"": ""2694"", ""Depth mTVD"": ""2009.4"", ""Inclination (dega)"": ""27.7"", ""Azimuth (dega)"": ""311.9"", ""Comment"": null}, {""Depth mMD"": ""2724"", ""Depth mTVD"": ""2036.1"", ""Inclination (dega)"": ""26.7"", ""Azimuth (dega)"": ""317"", ""Comment"": null}], ""Lithology Information"": [{""Start Depth mMD"": ""2400"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONES WITH SOME DOLOMITE STRINGERS - HORDALAND GROUP""}, {""Start Depth mMD"": ""2610"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONES WITH SOME DOLOMITE/LIMESTONE STRINGERS - HORDALAND GROUP""}], ""Gas Reading Information"": [{""Time"": ""00:00"", ""Class"": ""drilling gas pea k"", ""Depth to Top mMD"": ""2712"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""2025.4"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".34"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""2494"", ""C2 (ppm)"": ""30"", ""C3 (ppm)"": ""12"", ""IC4 (ppm)"": ""2"", ""IC5 (ppm)"": ""-999.99""}]}"
9,15/9-19 A,15_9_19_A_1997_08_01.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2768"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}], ""Survey Station"": [{""Depth mMD"": ""2752"", ""Depth mTVD"": ""2061.2"", ""Inclination (dega)"": ""26.1"", ""Azimuth (dega)"": ""319.9"", ""Comment"": null}], ""Lithology Information"": [{""Start Depth mMD"": ""2760"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONE WITH SOME DOLOMITE/LIMESTONE STRINGERS - HORDALAND GROUP""}], ""Gas Reading Information"": [{""Time"": ""00:00"", ""Class"": ""trip gas"", ""Depth to Top mMD"": ""2768"", ""Depth to Bottom MD"": null, ""Depth to Top mTVD"": ""2075.7"", ""Depth to Bottom TVD"": null, ""Highest Gas (%)"": "".05"", ""Lowest Gas ()"": null, ""C1 (ppm)"": ""280"", ""C2 (ppm)"": ""15"", ""C3 (ppm)"": ""2"", ""IC4 (ppm)"": ""-999.99"", ""IC5 (ppm)"": ""-999.99""}]}"
10,15/9-19 A,15_9_19_A_1997_08_02.pdf,"{""Pore Pressure"": [{""Time"": ""00:00"", ""Depth mMD"": ""2783"", ""Depth TVD"": null, ""Equ Mud Weight (g/cm3)"": ""1.03"", ""Reading"": ""estimated""}], ""Lithology Information"": [{""Start Depth mMD"": ""2768"", ""End Depth mMD"": ""-999.99"", ""Start Depth TVD"": null, ""End Depth TVD"": null, ""Shows Description"": null, ""Lithology Description"": ""CLAYSTONE WITH INCREASING AMOUNT OF ANHYDRITE/GYPSUM TOWARDS 2783M""}]}"
