report_id,wellbore_id,pdf_name,page_number,row_index,Time of Opening Well Perf,Time of Closing Well Perf,Top of Perf mMD,Bottom of Perf mMD,Top of Perf TVD,Bottom of Perf TVD
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,1,00:00,,4031,4043,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,2,00:00,,4063,4075,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,3,00:00,,4268,4280,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,4,00:00,,4286,4295,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,5,00:00,,4304,4316,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,6,00:00,,4355,4367,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,7,00:00,,48,4500,,
534,15/9-F-11 B,15_9_F_11_B_2013_07_24.pdf,1,8,00:00,,4527,4539,,
543,15/9-F-11 B,15_9_F_11_B_2015_11_02.pdf,1,1,07:00,,3960,3969,,
544,15/9-F-11 B,15_9_F_11_B_2015_11_03.pdf,1,1,08:30,,3910,3919,,
548,15/9-F-11 B,15_9_F_11_B_2016_04_18.pdf,1,1,19:00,13:40,3475,3481,,
548,15/9-F-11 B,15_9_F_11_B_2016_04_18.pdf,1,2,19:00,20:45,3675,3684,,
753,15/9-F-12,15_9_F_12_2008_02_12.pdf,2,1,00:00,,3130,3281,,
767,15/9-F-12,15_9_F_12_2014_11_27.pdf,1,1,02:10,02:10,3126.2,3130.7,,
867,15/9-F-14,15_9_F_14_2008_07_06.pdf,2,1,17:30,18:00,3345,33542,,
868,15/9-F-14,15_9_F_14_2008_07_07.pdf,2,1,09:45,09:45,3312,3321.2,,
869,15/9-F-14,15_9_F_14_2008_07_08.pdf,2,1,20:30,20:30,3287,3296.2,,
870,15/9-F-14,15_9_F_14_2008_07_09.pdf,2,1,20:00,20:00,3044,3059.2,,
870,15/9-F-14,15_9_F_14_2008_07_09.pdf,2,2,11:30,11:30,3021,3036.2,,
871,15/9-F-14,15_9_F_14_2008_07_10.pdf,2,1,05:15,05:15,3005,3020.2,,
