report_id,wellbore_id,pdf_name,page_number,row_index,Depth to Top of Formation mMD,Depth to Top of Formation mTVD,Description
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,1,109,109,Nordland Gp
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,2,1112,1059.5,Hordaland Gp
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,3,1319,1181.5,Skade Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,4,2777.5,2084.5,Grid Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,5,2961,2253.5,Balder Fm .
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,6,3021,2309,Sele Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,7,3101.5,2382.5,Lista Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,8,3178,2452.5,Ty Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,9,3312.5,2575,Ekofisk Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,10,3327.5,2588.5,Tor Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,11,3476,2723.5,Hod Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,12,3559,2799.5,Blodøks Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,13,3572,2811,Hidra Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,14,3582,2820.5,Rødby Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,15,3597,2834.5,Sola Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,16,3605.5,2842,Åsgard Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,17,3666.5,2898.5,Draupne Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,18,3706,2935,Heather Fm.
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,19,3796.5,3015.5,Hugin Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,20,3920,3127,Sleipner Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,21,3992,3191.5,Skagerak Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,22,4097,3287,Smith Bank Fm
34,15/9-19 A,15_9_19_A_1997_08_26.pdf,2,23,851,842.5,Utsira Fm
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,1,110,110,Nordland Gp
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,2,11,1059.5,Hordaland Gp
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,3,1316.5,1181.5,Skade Fm
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,4,2781.5,2097.5,Grid Fm
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,5,851,842.5,Utsira Fm
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,1,2971,2259,Balder Fm .
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,1,3039,2315.5,Sele Fm
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,2,3122,2385.5,Lista Fm
129,15/9-19 B,15_9_19_B_1997_11_28.pdf,2,1,3208,2457.5,Ty Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,1,1561.5,1497,Kai Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,2,2137.5,1966.1,Brygge Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,3,2445.5,2229,Tare Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,4,2517.5,2295.7,Tang Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,5,2586,2360.1,Springar Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,6,2747,2516.1,Nise Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,7,2941,2708.9,Kvitnos Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,8,330,330,Naust Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,9,3416,3162.2,Lysing Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,10,3458,3200.3,Lange Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,11,4235.5,3777.4,Lyr Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,12,4263.5,3793.7,Spekk Fm
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,13,4373,3857.1,Melke Fm
154,15/9-19 BT2,15_9_19_BT2_1997_12_22.pdf,2,1,3374.5,2601,Ekofisk Fm
154,15/9-19 BT2,15_9_19_BT2_1997_12_22.pdf,2,2,3403,2625.5,Tor Fm
157,15/9-19 BT2,15_9_19_BT2_1997_12_25.pdf,2,1,3557.5,2753.5,Hod Fm
157,15/9-19 BT2,15_9_19_BT2_1997_12_25.pdf,2,2,3654,2833.5,Blodøks Fm
157,15/9-19 BT2,15_9_19_BT2_1997_12_25.pdf,2,3,3676,2852.5,Hidra Fm
157,15/9-19 BT2,15_9_19_BT2_1997_12_25.pdf,2,4,3780,2943.5,Heather Fm.
170,15/9-19 BT2,15_9_19_BT2_1998_01_07.pdf,2,1,3678,2854,Rødby Fm
170,15/9-19 BT2,15_9_19_BT2_1998_01_07.pdf,2,2,3768,2915.5,Draupne Fm
