report_id,wellbore_id,pdf_name,page_number,row_index,Depth mMD,Depth mTVD,Inclination (dega),Azimuth (dega),Comment
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,1,1,20,1638.3,58.96,281.75,
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,1,2,2210,1643.4,59.98,283.75,
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,1,3,2220,1648.4,59.98,283.75,
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,1,4,2881.1,2175.2,19.62,9.88,
1,15/9-19 A,15_9_19_A_1980_01_01.pdf,1,5,3836.4,3075,19.62,9.88,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,1,2178,1626.9,58.95,281.88,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,2,2289,1691.1,50.3,282.7,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,3,2318,1710.1,48.3,284.3,
7,15/9-19 A,15_9_19_A_1997_07_30.pdf,2,4,2348,1730.5,45.8,286.8,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,1,2377,1751.1,43.9,286.3,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,2,2406,1772.3,42,288.7,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,3,2435,1794.1,40.5,289.1,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,4,2464,1816.5,38.5,291.7,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,5,2493,1839.4,36.7,293.5,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,6,2521,1862,36,294.5,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,7,2550,1885.6,34.9,297.3,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,8,2579,1909.7,32.7,299.4,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,9,2608,1934.4,30.8,301,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,10,2636,1958.6,29.6,304.7,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,11,2665,1983.9,28.9,309.1,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,12,2694,2009.4,27.7,311.9,
8,15/9-19 A,15_9_19_A_1997_07_31.pdf,2,13,2724,2036.1,26.7,317,
9,15/9-19 A,15_9_19_A_1997_08_01.pdf,2,1,2752,2061.2,26.1,319.9,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,1,2781,2087.7,25.3,322.1,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,2,2810,2113.9,25.5,328.3,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,3,2839,2140.3,24.1,336.2,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,4,2867,2165.9,23.4,341,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,5,2896,2192.7,21.6,348.1,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,6,2924,2218.8,20.9,354.2,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,7,2953,2245.9,20.7,2.3,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,8,2982,2273,21.4,11.7,
12,15/9-19 A,15_9_19_A_1997_08_04.pdf,2,9,3011,2299.8,23.1,15,
13,15/9-19 A,15_9_19_A_1997_08_05.pdf,2,1,3040,2326.4,23.9,16.8,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,1,3070,2353.8,24.5,17.8,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,2,3100,2381.1,24,17.6,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,3,3129,2407.6,23.9,15.9,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,4,3158,2434.2,23.6,17.1,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,5,3187,2460.7,23.8,17.3,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,6,3216,2487.2,24,15.7,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,7,3245,2513.7,24.4,15.2,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,8,3274,2540.1,24.6,15.3,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,9,3303,2566.4,24.8,14.8,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,10,3331,2591.9,24.7,15,
14,15/9-19 A,15_9_19_A_1997_08_06.pdf,2,11,3360,2618.2,25,13.5,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,1,3389,2644.5,24.8,13.3,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,2,3418,2670.8,24.7,13.7,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,3,3447,2697.1,24.8,12.9,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,4,3477,2724.4,24.7,13.4,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,5,3505,2749.9,24.2,13.8,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,6,3533,2775.5,23.7,12.4,
15,15/9-19 A,15_9_19_A_1997_08_07.pdf,2,7,3562,2802.1,23.4,11.1,
16,15/9-19 A,15_9_19_A_1997_08_08.pdf,2,1,3592,2829.7,22.3,11.6,
16,15/9-19 A,15_9_19_A_1997_08_08.pdf,2,2,3604,2840.8,21.9,9.9,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,1,3632,2866.9,20.7,9.1,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,2,3657,2890.1,24,18.2,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,3,3678,2909.3,23.4,23.5,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,4,3707,2935.7,25,28.3,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,5,3721,2948.3,26.6,30.2,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,6,3736,2961.7,26.8,31.2,
18,15/9-19 A,15_9_19_A_1997_08_10.pdf,2,7,3765,2987.6,26.8,33.1,
19,15/9-19 A,15_9_19_A_1997_08_11.pdf,2,1,3794,3013.4,27.5,34.6,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,1,3823,3039.3,26.1,34.2,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,2,3852,3065.4,25.5,34.7,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,3,3882,3092.5,25.6,33.3,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,4,3911,3118.6,25.6,33.8,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,5,3939,3143.9,25.7,33.9,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,6,3968,3170,25.9,32.9,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,7,3997,3196.1,25.9,32.5,
29,15/9-19 A,15_9_19_A_1997_08_21.pdf,2,8,4025,3221.3,25.6,32.2,
30,15/9-19 A,15_9_19_A_1997_08_22.pdf,2,1,4084,3275.2,22.5,29.6,
30,15/9-19 A,15_9_19_A_1997_08_22.pdf,2,2,4111,3300.2,21.6,27.9,
112,15/9-19 B,15_9_19_B_1997_11_11.pdf,2,1,2253,1668,55.4,285.4,
113,15/9-19 B,15_9_19_B_1997_11_12.pdf,2,1,2321,1713.9,52,282.1,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,1,2328,1725.7,49.8,279.9,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,2,2378,1746,45.1,273.8,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,3,2406,1766.5,40.8,271.7,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,4,2435,1788.8,38.5,267.5,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,5,2464,1812,35.7,263.9,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,6,2493,1836,32.6,258.4,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,7,2521,1859.9,30.3,252.1,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,8,2551,1886,28.6,243.8,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,9,2579,1910.9,26.1,236.3,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,10,2608,1937.2,23.4,230.3,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,11,2637,1964,2,222.3,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,12,2666,1990.9,21.8,213,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,13,2694,2016.9,21.2,202,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,14,2724,2044.9,21.7,192.3,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,15,2753,2071.7,23.3,183.5,
114,15/9-19 B,15_9_19_B_1997_11_13.pdf,2,16,2782,2098,25.9,177.2,
115,15/9-19 B,15_9_19_B_1997_11_14.pdf,2,1,2810,2122.8,28.8,167.5,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,1,2838,2147.2,29.7,165,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,2,2868,2172.9,32.3,160.4,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,3,2897,2197.3,33.6,157.4,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,4,2926,2221.4,33.5,156.7,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,5,2955,2245.6,33.5,157.4,
116,15/9-19 B,15_9_19_B_1997_11_15.pdf,2,6,2984,2269.8,33.4,158.2,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,1,3043,2319.1,33.4,158.2,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,2,3071,2342.5,32.9,158.2,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,3,3099,2366,32.9,158.4,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,4,3128,2390.4,33.1,158.5,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,5,3157,2414.7,33.1,159,
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,6,3186,2439,32.9,158.7,
129,15/9-19 B,15_9_19_B_1997_11_28.pdf,2,1,3215,2463.3,32.9,158.8,
129,15/9-19 B,15_9_19_B_1997_11_28.pdf,2,2,3244,2487.6,33.1,158.8,
137,15/9-19 B,15_9_19_B_1997_12_06.pdf,2,1,2916,2213,34.4,157,
137,15/9-19 B,15_9_19_B_1997_12_06.pdf,2,2,2945,2237,34.4,151.4,
137,15/9-19 B,15_9_19_B_1997_12_06.pdf,2,3,2975,2261.7,34.3,151.3,
137,15/9-19 B,15_9_19_B_1997_12_06.pdf,2,4,3000,2282.4,34.1,147.8,
139,15/9-19 BT2,15_9_19_BT2_1997_12_07.pdf,2,1,3029,2306.4,34.4,148,
139,15/9-19 BT2,15_9_19_BT2_1997_12_07.pdf,2,2,3061,2332.9,33.8,149.1,
139,15/9-19 BT2,15_9_19_BT2_1997_12_07.pdf,2,3,3090,2357.3,31.5,158.2,
